event_group,date,title,channel,word,count
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,pembantu-pembantu,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,menteri-menteri,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,kabinet,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,kapolri,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,jaksa,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,agung,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,loh,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,semakin,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,maha,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,kuasa,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,menegakkan,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,kebenaran,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,dipilih,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,introspeksi,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,berani,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,mengajak,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,kebaikan,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,mendekati,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,cara,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,kembaliin,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,nanti,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,cari,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,benar-benar,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,lagi,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,mana-mana,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,melawan,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,birokrasi,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,makan,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,memperbaiki,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,punya,2
event-017,2025-02-10,(FULL) Pidato Presiden Prabowo Dalam Kongres ke-18 Muslimat NU,BeritaSatu,lihat,2
